"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"2022-11-24";"Bank_001";"Account_001";"";"Débit";"Payee_228";"DU 231122 AMAZON PRIME NO PAYLI2509501/   CARTE   4974********4225";"-27.96";"€";"-27.96";"-";"Alimentation > Supermarché";"Y";"";"N";"81";"81";"0"
"2022-11-25";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241122 MERCHANT       CARTE   4974********4225";"-19.40";"€";"-19.40";"-";"Alimentation > Restaurant";"Y";"";"N";"82";"82";"0"
"2022-11-25";"Bank_001";"Account_001";"";"Débit";"Payee_002";"D.G.F.I.P IMPOT 06105 ECH/251122 ID EMETTEUR/FRXXZZZXXXXXX MDT/XXXXXXXXXX";"-273.00";"€";"-273.00";"-";"Taxes et impôts > Impôts sur le revenu";"Y";"";"N";"83";"83";"0"
"2022-11-28";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241122 MERCHANT  PAYLI2090401/   CARTE   4974********4225";"-4.60";"€";"-4.60";"-";"Divers > Achat Divers";"Y";"";"N";"84";"84";"0"
"2022-11-28";"Bank_001";"Account_001";"";"Débit";"Payee_002";"SYMAMOBILE ECH/281122 ID EMETTEUR/FRXXZZZXXXXXX MDT/XXXXXXXXXX";"-4.90";"€";"-4.90";"-";"Frais généraux > Téléphone portable";"Y";"";"N";"85";"85";"0"
"2022-11-28";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 271122 MERCHANT   *EATS    CARTE   4974********4225                NLD";"-18.28";"€";"-18.28";"-";"Alimentation > Restaurant";"Y";"";"N";"86";"86";"0"
"2022-11-28";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241122 MERCHANT  PAYLI2090401/   CARTE   4974********4225";"-20.49";"€";"-20.49";"-";"Divers > Achat Divers";"Y";"";"N";"87";"87";"0"
"2022-11-28";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 261122 MERCHANT       CARTE   4974********4225";"-21.00";"€";"-21.00";"-";"Alimentation > Restaurant";"Y";"";"N";"88";"88";"0"
"2022-11-29";"Bank_001";"Account_001";"";"Débit";"Payee_228";"DU 271122 AMAZON PRIME NO PAYLI2509501/   CARTE   4974********4225";"-27.96";"€";"-27.96";"-";"Alimentation > Supermarché";"Y";"";"N";"89";"89";"0"
"2022-11-29";"Bank_001";"Account_001";"";"Crédit";"Payee_003";"/DE COMPANY_002 SAS  - DIRECTION FINANCIERE /MOTIF  XXXXXXXXXX 45549";"3028.62";"€";"3028.62";"+";"Revenus du travail > Salaire net";"Y";"";"N";"90";"90";"0"
